,name,prices,ratings,product_url
0,"Kohler Levity 74"" High x 47-5/8"" Wide Sliding Frameless Shower Door with Clear Glass",$371.70,50,https://www.build.com/kohler-k-706008-l/s850343?uid=2180304
1,"Miseno 72"" High x 59"" Wide Hinged Frameless Shower Door with Clear Glass",$619.95,40,https://www.build.com/miseno-msdf5972-swing/s1282737?uid=3050150
2,"Kohler Revel 70""High x 31-1/8-36"" Wide Pivot Frameless Shower Door with Clear Glass and CleanCoat",$340.94,45,https://www.build.com/kohler-k-707510-l/s1127269?uid=2707430
3,"Delta Trinsic 60"" Wide Sliding Frameless Shower Door with Clear Glass",$592.31,,https://www.build.com/delta-sd3172712/s1655145?uid=3917332
4,"Kohler Revel 76” High x 59-5/8"" Wide Sliding Shower Door with Crystal Clear Glass, Towel Bar and CleanCoat Technology",$670.24,50,https://www.build.com/kohler-k-707206-l/s1253779?uid=2997423
5,"DreamLine Enigma-X 76"" High x 60"" Wide Sliding Frameless Shower Door with Clear Glass",$799.99,50,https://www.build.com/dreamline-shdr-61607610/s709085?uid=1725915
6,"Miseno 76"" High x 60"" Wide Frameless Sliding Shower Door with Clear 3/8"" Glass and H2OFF™ Technology",$679.95,40,https://www.build.com/miseno-msdcfl6076/s1307421?uid=3108341
7,"Kohler Revel 70"" High x 43-1/8 - 48"" Wide Pivot Frameless Shower Door with Thick Clear Glass",$513.27,45,https://www.build.com/kohler-k-707551-l/s1127268?uid=2707429
8,"DreamLine Aqua Uno 58"" High x 34"" Wide Hinged Frameless Tub Door with Clear Glass",$239.99,45,https://www.build.com/dreamline-shdr-3534586/s709546?uid=1725901
9,"Kohler NEW - Composed 78"" High x 59-7/8"" Wide Sliding Framed Shower Door with Clear Glass",$759.26,,https://www.build.com/kohler-k-706081-l/s1682649?uid=3975224
10,"Delta Classic 48"" Wide Sliding Frameless Shower Door with Clear Glass",$564.86,,https://www.build.com/delta-sd3957018/s1655310?uid=3917497
11,"DreamLine Enigma-X 62"" High x 59"" Wide Sliding Frameless Shower Door with Clear Glass",$749.99,50,https://www.build.com/dreamline-shdr-61606210/s708941?uid=1725913
